product_id,product_name,Price £
1,Espresso,2.99
2,Americano,3.99
3,Cappuccino,2.99
4,Latte,2.99
5,Mocha,2.49
6,Flat White,4.99
7,Ground Espresso Coffee (250g),5.99
8,Whole Coffee Beans (500g),3.99
9,Decaf Coffee Beans (250g),4.99
10,Instant Coffee Powder (100g),6.99
11,Cold Brew Coffee Pack (6 Bottles),7.99
12,Iced Latte Bottles,2.99
13,Coffee Pods / Capsules,3.99
14,Vanilla Flavoured Coffee Syrup,2.99
15,Caramel Coffee Syrup,2.99
16,Hazelnut Coffee Syrup,2.49
17,Hot Chocolate Powder,4.99
18,Chai Latte Mix,5.99
19,Matcha Latte Powder,3.99
20,Tea Bags Selection Box,4.99
21,Butter Croissants,2.99
22,Chocolate Muffins,1.99
23,Blueberry Muffins,1.99
24,Cookies & Biscuits Pack,2.99
25,Brownies,2.49
26,Sandwich Meal Deals,5.99
27,Protein Snack Bars,2.99
28,Reusable Coffee Cups & Tumblers,1.99
