sale_id,sale_date,product_id,customer_id,total,rating,G total
2609,2023-09-01,24,1,10,5,500
2716,2023-09-04,24,1,10,4,500
3025,2023-09-14,24,1,10,5,500
3581,2023-10-02,4,1,12,5,600
4504,2023-11-04,5,1,9,4,450
5079,2023-11-23,8,1,15,5,750
5452,2023-12-05,9,1,14,4,700
6630,2024-01-15,4,1,12,5,600
7322,2024-02-10,1,1,7,4,350
7357,2024-02-11,1,1,7,4,350
9069,2024-04-24,4,1,12,4,600
10138,2024-09-03,2,1,18,5,900
10349,2024-09-27,3,1,5,5,250
375,2023-02-06,11,1,11,4,550
484,2023-02-16,3,1,5,4,250
734,2023-03-08,26,1,18,5,900
1787,2023-06-11,13,1,9,4,450
1896,2023-06-24,21,1,13,4,650
2207,2023-07-23,22,1,8,5,400
2352,2023-08-07,24,1,10,4,500
2430,2023-08-14,24,1,10,5,500
3038,2023-09-15,22,1,8,4,400
3052,2023-09-15,24,1,10,4,500
3082,2023-09-16,23,1,5,4,250
3444,2023-09-28,21,1,13,4,650
5913,2023-12-22,14,1,6.4,4,320
6428,2024-01-08,14,1,6.4,5,320
135,2023-01-16,7,1,30,5,1500
158,2023-01-18,3,1,5,4,250
193,2023-01-21,24,1,10,4,500
1217,2023-04-23,1,1,7,4,350
1302,2023-04-30,13,1,9,4,450
1490,2023-05-16,2,1,18,5,900
1813,2023-06-14,19,1,6,4,300
1825,2023-06-15,17,1,12,5,600
1830,2023-06-16,1,1,7,4,350
2155,2023-07-20,2,1,18,4,900
4975,2023-11-19,8,1,15,5,750
2107,2023-07-16,2,1,18,5,900
766,2023-03-11,11,1,11,4,550
1150,2023-04-15,23,1,5,4,250
1661,2023-06-01,14,1,6.4,4,320
6687,2024-01-17,4,1,12,5,600
6921,2024-01-26,2,1,18,5,900
7933,2024-03-01,2,1,18,5,900
9853,2024-07-29,1,1,7,5,350
4888,2023-11-17,1,1,7,5,350
9432,2024-06-01,1,1,7,5,350
404,2023-02-09,13,2,9,5,450
546,2023-02-22,15,2,7,4,350
748,2023-03-10,3,2,5,4,250
1475,2023-05-14,18,2,9,4,450
2323,2023-08-03,24,2,10,4,500
2569,2023-08-28,24,2,10,4,500
4698,2023-11-10,10,2,36,4,1800
5657,2023-12-13,1,2,7,4,350
6316,2024-01-04,14,2,6.4,5,320
6829,2024-01-23,1,2,7,4,350
7168,2024-02-04,4,2,12,4,600
9499,2024-06-11,4,2,12,5,600
9760,2024-07-16,1,2,7,4,350
9815,2024-07-23,3,2,5,5,250
789,2023-03-13,13,2,9,5,450
1874,2023-06-21,25,2,12,5,600
3168,2023-09-19,22,2,8,5,400
3760,2023-10-07,10,2,36,4,1800
6385,2024-01-06,14,2,6.4,5,320
7926,2024-03-01,2,2,18,5,900
8708,2024-03-26,2,2,18,5,900
8905,2024-04-05,2,2,18,5,900
9673,2024-07-03,4,2,12,5,600
918,2023-03-26,23,2,5,4,250
1209,2023-04-22,14,2,6.4,5,320
2717,2023-09-04,24,2,10,5,500
6632,2024-01-15,4,2,12,5,600
7653,2024-02-21,1,2,7,4,350
10057,2024-08-22,2,2,18,4,900
7120,2024-02-02,4,2,12,5,600
7091,2024-02-01,3,2,5,5,250
8361,2024-03-14,3,2,5,5,250
929,2023-03-27,28,3,6,4,300
2490,2023-08-20,24,3,10,5,500
2619,2023-09-01,24,3,10,5,500
4498,2023-11-04,2,3,18,4,900
5014,2023-11-21,3,3,5,5,250
5982,2023-12-24,14,3,6.4,4,320
6638,2024-01-16,1,3,7,5,350
10211,2024-09-12,2,3,18,4,900
55,2023-01-06,23,3,5,5,250
413,2023-02-09,27,3,4,4,200
636,2023-03-01,20,3,16,4,800
1583,2023-05-24,15,3,7,5,350
1940,2023-06-30,20,3,16,5,800
2330,2023-08-04,24,3,10,5,500
5484,2023-12-07,4,3,12,5,600
6689,2024-01-18,1,3,7,5,350
655,2023-03-02,22,3,8,4,400
2250,2023-07-27,14,3,6.4,4,320
2372,2023-08-09,24,3,10,5,500
2817,2023-09-07,24,3,10,4,500
2880,2023-09-09,24,3,10,4,500
3137,2023-09-18,23,3,5,4,250
4516,2023-11-04,10,3,36,4,1800
5579,2023-12-10,2,3,18,5,900
9914,2024-08-05,2,3,18,4,900
10056,2024-08-22,1,3,7,5,350
3322,2023-09-23,24,3,10,4,500
6574,2024-01-13,3,3,5,5,250
6793,2024-01-21,2,3,18,5,900
8528,2024-03-19,4,3,12,5,600
668,2023-03-03,20,3,16,4,800
3302,2023-09-23,22,3,8,4,400
8786,2024-03-29,1,3,7,5,350
1928,2023-06-29,2,3,18,4,900
2900,2023-09-10,22,3,8,5,400
821,2023-03-16,4,4,12,5,600
1466,2023-05-13,25,4,12,4,600
